sampleid,pond,doy,year,time,secchi_lower_m,secchi_raise_m,secchi_bottom,maxdepth_m,zoopdepth_m,birdcount,precip,cloudcover_perc,recreators,icedepth_m,blackicedepth_m,whiteicedepth_m,snowdepth_m,notes
P22-124-S0-C,Strickers,124,2022,10:32,0.2,0.15,N,1,NA,1,N,0,NA,NA,NA,NA,NA,
P22-124-T0-C,Tiedemans,124,2022,12:32,0.2,0.2,N,1,1,45,N,10,NA,NA,NA,NA,NA,
P22-131-S0-C,Strickers,131,2022,10:03,0.2,0.2,N,0.8,0.75,40,N,0,30,NA,NA,NA,NA,
P22-131-T0-C,Tiedemans,131,2022,10:55,0.14,0.14,N,0.75,0.5,2,N,80,2,NA,NA,NA,NA,
P22-143-S0-C,Strickers,143,2022,9:33,0.4,0.35,N,1,0.75,8,N,5,5,NA,NA,NA,NA,
P22-143-T0-C,Tiedemans,143,2022,12:12,0.4,0.3,N,NA,NA,7,N,40,7,NA,NA,NA,NA,
P22-151-S0-C,Strickers,151,2022,9:23,0.1,0.1,N,0.75,0.75,3,N,100,10,NA,NA,NA,NA,
P22-151-T0-C,Tiedemans,151,2022,9:23,0.3,0.25,N,1.1,1,8,N,100,5,NA,NA,NA,NA,
P22-158-S0-C,Strickers,158,2022,9:30,0.15,0.1,N,0.75,0.75,10,N,20,2,NA,NA,NA,NA,
P22-158-T0-C,Tiedemans,158,2022,11:34,0.2,0.2,N,1,0.5,15,N,75,5,NA,NA,NA,NA,
P22-164-S0-C,Strickers,164,2022,10:43,0.12,0.1,N,1,0.5,25,N,100,10,NA,NA,NA,NA,
P22-164-T0-C,Tiedemans,164,2022,10:43,0.15,0.15,N,1,0.5,0,Y,100,0,NA,NA,NA,NA,
P22-171-S0-C,Strickers,171,2022,9:05,0.2,0.15,N,1.2,0.5,12,N,0,3,NA,NA,NA,NA,
P22-171-T0-C,Tiedemans,171,2022,9:05,0.22,0.2,N,1.2,0.4,10,N,0,3,NA,NA,NA,NA,
P22-178-S0-C,Strickers,178,2022,10:30,0.1,0.05,N,1,0.2,25,N,0,8,NA,NA,NA,NA,
P22-178-T0-C,Tiedemans,178,2022,8:52,0.1,0.1,N,1.04,0.3,47,N,0,5,NA,NA,NA,NA,
P22-185-S0-C,Strickers,185,2022,9:00,0.05,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
P22-185-T0-C,Tiedemans,185,2022,9:00,0.05,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
P22-186-S0-C,Strickers,186,2022,10:30,0.05,0.05,N,0.8,0.3,27,N,55,5,NA,NA,NA,NA,
P22-186-T0-C,Tiedemans,186,2022,8:49,0.1,0.1,N,1.2,0.4,10,N,90,15,NA,NA,NA,NA,
P22-192-S0-C,Strickers,192,2022,9:10,0.075,0.05,N,1,0.5,8,N,100,7,NA,NA,NA,NA,
P22-192-T0-C,Tiedemans,192,2022,9:10,0.1,0.1,N,1,0.5,6,N,100,6,NA,NA,NA,NA,
P22-199-S0-C,Strickers,199,2022,11:00,0.08,0.05,N,1.02,0.4,37,N,2,3,NA,NA,NA,NA,
P22-199-T0-C,Tiedemans,199,2022,9:13,0.1,0.08,N,1.2,0.4,10,N,0,7,NA,NA,NA,NA,
P22-206-S0-C,Strickers,206,2022,10:38,0.05,0.05,N,0.75,0.4,10,N,0,7,NA,NA,NA,NA,
P22-206-T0-C,Tiedemans,206,2022,8:47,0.1,0.1,N,1,0.5,0,N,0,7,NA,NA,NA,NA,
P22-213-T0-C,Tiedemans,213,2022,9:14,0.1,0.05,N,1.3,0.5,9,N,98,4,NA,NA,NA,NA,
P22-213-S0-C,Strickers,213,2022,10:55,0.05,0.025,N,0.9,0.3,20,N,90,10,NA,NA,NA,NA,
P22-220-S0-C,Strickers,220,2022,11:44,0.05,0.05,N,1,0.5,5,N,100,9,NA,NA,NA,NA,
P22-220-T0-C,Tiedemans,220,2022,9:25,0.13,0.11,N,0.75,0.5,5,N,100,14,NA,NA,NA,NA,
P22-228-S0-C,Strickers,228,2022,10:47,0.05,0.05,N,1,0.5,2,N,10,10,NA,NA,NA,NA,
P22-228-T0-C,Tiedemans,228,2022,8:41,0.11,0.09,N,1,0.5,1,N,20,6,NA,NA,NA,NA,
P22-234-S0-C,Strickers,234,2022,10:30,0.08,0.05,N,1,0.5,0,N,10,3,NA,NA,NA,NA,
P22-234-T0-C,Tiedemans,234,2022,9:02,0.1,0.08,N,1.1,0.25,6,N,0,8,NA,NA,NA,NA,
P22-241-S0-C,Strickers,241,2022,10:47,0.05,0.05,N,1.02,NA,4,N,40,5,NA,NA,NA,NA,
P22-241-T0-C,Tiedemans,241,2022,9:11,0.2,0.1,N,0.75,NA,1,N,100,5,NA,NA,NA,NA,
P22-249-S0-C,Strickers,249,2022,11:15,0.1,0.05,N,0.96,0.25,1,N,10,2,NA,NA,NA,NA,
P22-249-T0-C,Tiedemans,249,2022,9:20,0.05,0.05,N,0.75,0.5,11,N,50,4,NA,NA,NA,NA,
P22-255-S0-C,Strickers,255,2022,11:10,0.05,0.05,N,1,0.75,1,N,100,0,NA,NA,NA,NA,
P22-255-T0-C,Tiedemans,255,2022,9:42,0.1,0.1,N,1,0.5,2,Y,100,1,NA,NA,NA,NA,
P22-262-S0-C,Strickers,262,2022,9:14,0.1,0.08,N,0.75,0.5,10,N,0,10,NA,NA,NA,NA,
P22-262-T0-C,Tiedemans,262,2022,9:14,0.1,0.05,N,0.75,0.25,5,N,0,4,NA,NA,NA,NA,
P22-269-S0-C,Strickers,269,2022,NA,0.05,0.05,N,1,0.5,20,N,80,6,NA,NA,NA,NA,
P22-269-T0-C,Tiedmans,269,2022,9:38,0.09,0.07,N,0.9,0.75,0,N,40,7,NA,NA,NA,NA,
P22-283-S0-C,Strickers,283,2022,NA,0.1,0.1,N,0.75,0.5,5,N,0,0,NA,NA,NA,NA,
P22-283-T0-C,Tiedmans,283,2022,9:11,0.07,0.05,N,0.9,0.5,0,N,0,0,NA,NA,NA,NA,
P22-297-S0-C,Strickers,297,2022,9:42,0.12,0.11,N,0.75,0.5,0,N,85,0,NA,NA,NA,NA,
P22-297-T0-C,Tiedmans,297,2022,9:42,0.1,0.08,N,0.75,0.5,2,N,75,5,NA,NA,NA,NA,
P22-311-S0-C,Strickers,311,2022,NA,0.07,0.07,N,1.1,0.75,85,N,0,6,NA,NA,NA,NA,
P22-311-T0-C,Tiedmans,311,2022,NA,0.15,0.18,N,1.1,75,0,N,0,1,NA,NA,NA,NA,3 muskrat dens
P22-336-T0-C,Tiedemans,336,2022,11:30,0.3,0.35,N,1.1,NA,0,N,50,2,0.08,0.08,0,0,
P23-025-S0-C,Strickers,25,2023,10:00,NA,NA,NA,1.2,NA,0,Y,100,0,0.16,0.02,0.14,0.02,
P23-025-T0-C,Tiedemans,25,2023,NA,0.75,0.75,Y,0.75,NA,0,Y,100,2,0.16,0.11,0.05,0.02,
P23-026-E0-C,Elver,26,2023,11:35,0.4,0.4,N,3,NA,0,Y,100,6,0.22,0.2,0.02,0.04,
P23-026-O0-C,Orchid,26,2023,9:15,0.4,0.3,Y,0.35,NA,0,Y,100,2,0.08,0.07,0.01,0.03,
P23-026-L0-C,Lakeview,26,2023,10:25,1.15,1.15,Y,1.15,0.06,0,Y,100,1,0.06,0.03,0.03,0,
P23-057-T0-C,Tiedemans,57,2023,9:25,0.55,0.54,N,1.1,NA,0,N,0,7,,,,,
P23-057-S0-C,Strickers,57,2023,10:43,0.4,0.35,N,1.2,NA,0,N,0,5,,,,,
P23-57-F0-S,Forebay,57,2023,11:54,,,,0.7,,,,,,0.17,0.02,0.15,0.005,
P23-082-S0-C,Strickers,82,2023,12:21,NA,NA,NA,NA,NA,5,N,100,10,NA,NA,NA,NA,
P23-082-T0-C,Tiedemans,82,2023,11:37,NA,NA,NA,NA,NA,10,N,100,2,NA,NA,NA,NA,
P23-082-L0-C,Lakeview,82,2023,10:55,NA,NA,NA,NA,NA,5,N,100,4,NA,NA,NA,NA,
P23-111-T0-C,Tiedemans,111,2023,9:15,0.25,0.25,N,1,0.75,8,N,10,15,Na,NA,A,NA,
P23-111-S0-C,Strickers,111,2023,9:15,0.15,0.15,N,1,0.75,3,N,100,NA,NA,NA,NA,NA,approx 15 dead snapping turtles
P23-111-W0-C,LakeviewWest,111,2023,12:27,0.35,0.35,N,1.25,1,1,N,10,2,NA,NA,NA,NA,
P23-118-T0-C,Tiedemans,118,2023,,0.1,0.1,N,9,0.5,300,N,25,24,NA,NA,NA,NA,
P23-118-S0-C,Strickers,118,2023,10:59,0.15,0.12,N,0.85,0.5,27,N,30,10,NA,NA,NA,NA,
P23-118-W0-C,LakeviewWest,118,2023,12:09,0.2,0.19,N,1.3,0.75,0,N,0,NA,,,,,
P23-124-S0-C,Strickers,124,2023,,0.13,0.1,N,0.9,0.5,2,N,5,4,,,,,
P23-124-T0-C,Tiedemans,124,2023,,0.12,0.1,N,0.8,0.5,6,N,5,7,,,,,
P23-124-W0-C,LakeviewWest,124,2023,,0.13,0.1,N,1.25,0.75,6,N,5,3,,,,,
P23-130-S0-C,Strickers,130,2023,,0.1,0.1,N,0.8,0.5,20,N,0,10,,,,,
P23-130-T0-C,Tiedemans,130,2023,9:00,0.15,0.15,N,0.8,0.5,13,N,5,5,,,,,
P23-130-W0-C,LakeviewWest,130,2023,11:20,0.4,0.35,N,1.2,0.75,0,N,0,5,,,,,
P23-136-S0-C,Strickers,136,2023,9:20,0.15,0.15,N,0.9,0.5,16,N,0,5,,,,,
P23-136-T0-C,Tiedemans,136,2023,,0.2,0.17,N,0.9,0.5,3,N,0,8,,,,,
P23-136-W0-C,LakeviewWest,136,2023,11:50,0.3,0.4,N,1.15,0.75,0,N,0,0,,,,,
P23-143-W0-C,LakeviewWest,143,2023,9:06,0.3,0.4,N,1,0.75,2,N,0,2,,,,,
P23-143-S0-C,Strickers,143,2023,10:23,0.2,0.15,N,0.85,0.5,15,N,0,1,,,,,
P23-143-T0-C,Tiedeman's,143,2023,9:06,0.1,0.1,N,0.6,0.5,5,N,0,10,,,,,
P23-150-W0-C,LakeviewWest,150,2023,12:20,0.25,0.3,N,0.9,,2,,,0,,,,,
P23-150-T0-C,Tiedeman's,150,2023,9:23,0.3,0.3,N,0.75,,3,,5,3,,,,,
P23-150-S0-C,Stricker's,150,2023,10:55,0.2,0.2,N,0.75,,15,,5,3,,,,,
P23-157-W0-C,LakeviewWest,157,2023,11:31,0.82,0.8,N,0.97,0.75,1,N,90,1,,,,,
P23-157-S0-C,Stricker's,157,2023,10:15,0.15,0.12,N,0.7,0.5,17,N,75,25,,,,,
P23-157-T0-C,Tiedeman's,157,2023,9:08,0.4,0.32,N,0.67,0.5,13,N,90,6,,,,,
P23-164-S0-C,Stricker's,164,2023,10:14,0.12,0.12,N,0.6,0.25,22,Y,100,2,,,,,Column sample taken to .75 depth of VILE to avoid sediment
P23-164-T0-C,Tiedeman's,164,2023,10:14,0.2,0.1,N,0.5,0.25,25,N,100,0,,,,,
P23-172-W0-C,LakeviewWest,172,2023,12:16,0.31,0.3,N,0.92,0.75,2,N,5,3,,,,,
P23-172-S0-C,Stricker's,172,2023,9:20,0.19,0.16,N,0.75,0.6,10,N,1,5,,,,,
P23-172-T0-C,Tiedeman's,172,2023,9:20,0.25,0.25,N,0.65,0.6,3,N,0,6,,,,,
P23-177-W0-C,LakeviewWest,177,2023,12:03,0.35,0.34,N,1.05,NA,20,N,95,20,,,,,
P23-177-S0-C,Stricker's,177,2023,10:47,0.17,0.15,N,0.69,NA,11,N,100,3,,,,,
P23-177-T0-C,Tiedeman's,177,2023,9:15,0.29,0.26,N,0.6,NA,3,N,100,1,,,,,
P23-179-W0-C,LakeviewWest,179,2023,1:27,0.48,0.42,N,1.03,NA,,,,,,,,,
P23-179-T0-C,Tiedemans,179,2023,9:15,0.3,0.3,N,0.6,NA,,,,,,,,,
P23-179-F0-C,Forebay,179,2023,10:30,0.39,0.45,N,0.95,NA,,,,,,,,,
P23-179-S0-C,Strickers,179,2023,12:09,0.15,0.13,N,0.65,NA,,,,,,,,,
P23-184-F0-C,Forebay,184,2023,11:15,0.2,0.2,Y,0.2,NA,,,,,,,,,
P23-184-S0-C,Strickers,184,2023,1:04,0.2,0.16,N,0.63,0.5,,N,10,2,,,,,
P23-184-T0-C,Tiedemans,184,2023,9:18,0.29,0.29,N,0.59,0.5,5,N,0,10,,,,,
P23-186-W0-C,LakeviewWest,186,2023,12:19,,,,,,18,N,95,1,,,,,no secchi so using max depth from day 182
P23-186-S0-C,Strickers,186,2023,11:41,,,,,,18,N,85,2,,,,,no secchi so using max depth from day 183
P23-186-T0-C,Tiedemans,186,2023,11:00,,,,,,1,N,40,5,,,,,no secchi so using max depth from day 184
P23-187-S0-C,Strickers,187,2023,9:35,,,,,,9,N,80,4,,,,,
P23-187-T0-C,Tiedemans,187,2023,9:05,,,,,,16,N,85,3,,,,,
P23-187-W0-C,LakeviewWest,187,2023,10:32,,,,,,0,N,90,0,,,,,
P23-191-S0-C,Strickers,191,2023,12:03,0.18,0.17,N,0.78,0.5,5,N,0,5,,,,,
P23-191-T0-C,Tiedemans,191,2023,9:27,0.5,0.47,N,0.59,,30,N,0,4,,,,,
P23-191-W0-C,LakeviewWest,191,2023,13:37,0.45,0.45,N,1.04,0.75,0,N,0,5,,,,,
P23-191-F0-C,Forebay,191,2023,,0.26,0.26,Y,0.26,,,,,,,,,,
P23-194-S0-C,Strickers,194,2023,12:12,0.16,0.15,N,0.94,,3,N,65,5,,,,,
P23-194-T0-C,Tiedemans,194,2023,9:17,0.59,0.58,N,0.79,,14,N,40,11,,,,,
P23-194-W0-C,LakeviewWest,194,2023,,0.42,0.42,N,1.2,,0,N,50,2,,,,,
P23-194-F0-C,Forebay,194,2023,10:45,0.3,0.3,Y,0.3,,0,N,70,12,,,,,
P23-198-W0-C,LakeviewWest,198,2023,11:19,0.42,0.42,N,1.12,1,20,N,15,7,,,,,
P23-198-S0-C,Strickers,198,2023,10:14,0.18,0.18,N,1.01,0.75,8,N,5,5,,,,,
P23-198-T0-C,Tiedemans,198,2023,9:02,0.41,0.38,N,0.91,0.75,5,N,0,1,,,,,
P23-199-E0-C,Elver,199,2023,14:10,0.94,0.94,N,2.55,,,,,,,,,,
P23-199-L0-C,Lakeview,199,0:00,11:35,0.5,0.5,N,1.11,,,,,,,,,,"Secchi depths due to macrophytes blocking view, not water clarity "
P23-199-O0-C,Orchid,199,2023,9:48,0.31,0.29,N,1.19,,,,,,,,,,
P23-200-W0-C,LakeviewWest,200,2023,13:08,0.4,0.39,N,1.09,,,,,,,,,,
P23-200-S0-C,Strickers,200,2023,11:19,0.16,0.14,N,0.92,,,,,,,,,,
P23-200-T0-C,Tiedemans,200,2023,8:34,0.4,0.4,N,0.84,,,,,,,,,,
P23-200-F0-C,Forebay,200,2023,9:56,0.3,0.3,Y,0.3,,,,,,,,,,
P23-208-S0-C,Strickers,208,2023,12:20,0.15,0.15,N,0.9,0.75,2,N,10,2,,,,,
P23-208-T0-C,Tiedemans,208,2023,9:17,0.19,0.2,N,0.88,0.75,7,N,5,3,,,,,Water level logger launched at 9:35
P23-208-W0-C,LakeviewWest,208,2023,,0.36,0.31,N,1.12,1,0,N,45,3,,,,,
P23-208-F0-C,Forebay,208,2023,10:45,0.21,0.21,N,0.22,,0,N,5,10,,,,,
P23-213-W0-C,LakeviewWest,213,2023,1:56,0.49,0.41,N,1.1,0.75,0,N,60,2,,,,,
P23-213-F0-C,Forebay,213,2023,10:19,0.44,0.42,N,0.46,,3,N,40,5,,,,,
P23-213-S0-C,Strickers,213,2023,11:46,0.16,0.16,N,1.1,0.75,5,N,60,3,,,,,
P23-213-T0-C,Tiedemans,213,2023,9:10,0.24,0.25,N,1.11,0.75,0,N,20,2,,,,,
P23-216-W0-C,LakeviewWest,216,2023,13:23,0.3,0.21,N,1.66,,,,,,,,,,
P23-216-T0-C,Tiedemans,216,2023,9:18,0.3,0.4,N,1.25,,,,,,,,,,
P23-216-S0-C,Strickers,216,2023,,0.18,0.17,N,1,,,,,,,,,,
P23-216-F0-C,Forebay,216,2023,10:26,0.3,0.3,N,0.3,,,,,,,,,,
P23-222-W0-C,LakeviewWest,222,2023,2:13,0.35,0.35,N,1.1,0.75,2,,1,2,,,,,
P23-222-S0-C,Strickers,222,2023,12:19,0.14,0.12,N,0.86,0.75,4,N,50,2,,,,,
P23-222-T0-C,Tiedemans,222,2023,9:24,0.3,0.3,N,0.75,0.5,5,N,5,2,,,,,
P23-222-F0-S,Forebay,222,2023,11:05,0.3,0.3,N,0.3,,,,,,,,,,
P23-229-W0-C,LakeviewWest,229,2023,,0.3,0.3,N,1.65,,,,,,,,,,
P23-229-S0-C,Strickers,229,2023,,0.18,0.16,N,1,,,,,,,,,,
P23-229-T0-C,Tiedemans,229,2023,,0.3,0.25,N,1,,,,,,,,,,
P23-229-F0-C,Forebay,229,2023,,0.35,0.35,N,0.55,,,,,,,,,,
P23-233-W0-C,LakeviewWest,233,2023,11:00,0.3,0.25,N,1,0.75,1,N,20,4,,,,,
P23-233-S0-C,Strickers,233,2023,10:15,0.2,0.2,N,1.13,0.75,0,N,5,3,,,,,
P23-240-W0-C,LakeviewWest,240,2023,13:33,0.24,0.22,N,1.7,,,,,,,,,,
P23-240-S0-C,Strickers,240,2023,,0.22,0.18,N,1.3,,,,,,,,,,
P23-240-T0-C,Tiedemans,240,2023,,0.16,0.16,N,0.8,,,,,,,,,,
P23-240-F0-S,Forebay,240,2023,10:28,0.16,0.16,Y,0.16,,,,,,,,,,
P23-247-W0-C,LakeviewWest,247,2023,11:20,0.2,0.2,N,1.1,0.75,2,N,80,3,,,,,
P23-248-S0-C,Strickers,248,2023,10:33,0.15,0.1,N,0.8,0.5,4,N,60,1,,,,,
P23-248-T0-C,Tiedemans,248,2023,9:11,0.2,0.15,N,0.9,0.5,18,N,50,2,,,,,
P23-261-W0-C,LakeviewWest,261,2023,11:07,0.28,0.25,N,1.2,0.75,0,N,40,1,,,,,
P23-261-S0-C,Strickers,261,2023,9:49,0.1,0.15,N,0.75,0.5,7,N,60,4,,,,,
P23-261-T0-C,Tiedemans,261,2023,8:50,0.3,0.3,N,0.7,0.5,2,N,75,2,,,,,"Green, scummy bloom on Tiedemans, bubbles trapped in green streaks"
P23-276-W0-C,LakeviewWest,276,2023,12:45,0.2,0.2,N,1.1,0.75,0,N,5,2,,,,,
P23-276-S0-C,Strickers,276,2023,11:30,0.08,0.07,N,0.9,,3,N,5,2,,,,,
P23-276-T0-C,Tiedmans,276,2023,10:00,0.26,0.24,N,1,0.5,112,N,5,0,,,,,
P23-290-W0-C,LakeviewWest,290,2023,11:00,0.42,0.33,N,1.15,0.75,,,,,,,,,
P23-290-S0-C,Strickers,290,2023,9:55,0.27,0.21,N,1.1,,,,,,,,,,
P23-290-T0-C,Tiedmans,290,2023,8:54,0.37,0.33,N,0.97,0.75,,,,,,,,,
P23-311-W0-C,LakeviewWest,311,2023,11:50,0.4,0.38,N,1.2,0.75,0,N,40,2,,,,,
P23-311-S0-C,Strickers,311,2023,10:45,0.2,0.18,N,1,0.5,200,N,40,10,,,,,Cold on my hands
P23-311-T0-C,Tiedmans,311,2023,9:50,0.3,0.3,N,1,0.5,60,N,10,4,,,,,
P24-060-S0-S,Strickers,60,2024,11:05,,,,,,4,N,30,2,,,,,
P24-060-T0-S,Tiedmans,60,2024,10:43,,,,,,5,N,20,4,,,,,
P24-060-W0-S,LakeviewWest,60,2024,11:53,,,,,,0,N,40,2,,,,,
P24-075-T0-S,Tiedmans,75,2024,9:35,,,,,,24,N,0,0,,,,,
P24-075-W0-S,LakeviewWest,75,2024,10:40,,,,,,6,N,0,0,,,,,
P24-075-F0-S,Forebay,75,2024,10:15,,,,,,4,N,0,2,,,,,
P24-138-T0-C,Tiedmans,138,2024,9:53,0.45,0.4,N,0.9,0.5,30,N,1,6,,,,,
P24-138-S0-C,Strickers,138,2024,9:54,0.25,0.2,N,0.96,0.5,2,N,40,5,,,,,film of OM in Forebay
P24-138-W0-C,LakeviewWest,138,2024,11:05,0.56,0.47,N,1.25,0.75,0,N,20,1,,,,,thousands of tadpoles 
P24-145-S9-S,Strickers,145,2024,11:00,,,,,,0,Y,100,0,,,,,
P24-145-W9-S,LakeviewWest,145,2024,11:30,,,,,,0,Y,100,0,,,,,
P24-145-T0-C,Tiedemans,145,2024,10:07,0.4,0.3,N,,0.75,2,Y,100,0,,,,,
P24-150-T0-C,Tiedemans,150,2024,9:00,0.4,0.35,N,1.1,0.75,10,N,0.5,4,,,,,
P24-150-S0-C,Strickers,150,2024,10:42,0.4,0.3,N,1.25,0.75,2,N,10,5,,,,,
P24-150-W0-C,LakeviewWest,150,2024,11:58,0.4,0.3,N,1.75,1.5,8,N,60,3,,,,,
P24-152-O9-S,Orchid,152,2024,9:14,,,,,,4,N,50,4,,,,,
P24-152-L9-S,Lakeview,152,2024,9:48,,,,,,7,N,40,22,,,,,
P24-152-E9-S,Elver,152,2024,10:24,,,,,,11,N,35,60,,,,,
P24-152-M9-S,McKee,152,2024,10:55,,,,,,2,N,40,85,,,,,
P24-157-T0-C,Tiedemans,157,2024,8:58,0.4,0.3,N,1.05,0.75,9,N,20,5,,,,,
P24-157-S0-C,Strickers,157,2024,10:00,0.3,0.25,N,1.05,0.75,12,N,5,3,,,,,
P24-157-W0-C,LakeviewWest,157,2024,11:55,0.4,0.37,N,1.4,1.25,2,N,1,5,,,,,
P24-158-O9-S,Orchid,158,2024,9:50,,,,,,8,N,5,8,,,,,
P24-158-L9-S,Lakeview,158,2024,10:15,,,,,,19,N,5,115,,,,,
P24-158-E9-S,Elver,158,2024,10:44,,,,,,1,N,15,20,,,,,
P24-158-M9-S,McKee,158,2024,11:10,,,,,,1,N,40,20,,,,,
P24-164-T0-C,Tiedemans,164,2024,9:19,0.45,0.4,N,0.9,0.75,9,N,5,7,,,,,
P24-164-S0-C,Strickers,164,2024,10:42,0.35,0.25,N,0.9,0.75,10,N,12,8,,,,,
P24-164-W0-C,LakeviewWest,164,2024,11:45,0.45,0.45,N,1.18,1,1,N,15,0,,,,,
P24-170-T0-C,Tiedemans,170,2024,11:29,0.3,0.25,N,1,0.75,5,N,40,1,,,,,
P24-170-S0-C,Strickers,170,2024,10:16,0.3,0.3,N,0.9,0.75,6,N,55,2,,,,,
P24-170-W0-C,LakeviewWest,170,2024,9:05,0.45,0.4,N,1.3,1,0,N,85,1,,,,,
P24-178-T0-C,Tiedemans,178,2024,9:25,0.15,0.2,N,0.85,0.5,9,N,50,4,,,,,
P24-178-S0-C,Strickers,178,2024,10:50,0.3,0.3,N,1.2,1,6,N,8,3,,,,,
P24-178-W0-C,LakeviewWest,178,2024,12:31,0.25,0.3,N,1.85,1.5,1,N,1,2,,,,,
P24-185-W9-S,LakeviewWest,185,2024,9:34,0.3,0.25,N,1.85,N/A,0,N,10,0,,,,,
P24-185-T0-C,Tiedemans ,185,2024,10:20,0.3,0.25,N,1.1,N/A,0,N,50,3,,,,,
P24-185-S9-C,Strickers,185,2024,10:49,0.25,0.2,N,1.3,N/A,3,N,10,0,,,,,
P24-191-T0-C,Tiedemans,191,2024,9:01,0.25,0.2,N,0.9,0.75,6,N,50,3,,,,,
P24-191-S0-C,Strickers,191,2024,10:23,0.35,0.3,N,1.15,0.75,2,N,90,3,,,,,
P24-191-W0-C,LakeviewWest,191,2024,1:10,0.5,0.45,N,1.3,1,9,N,100,1, ,,,,
P24-199-T0-C,Tiedemans,199,2024,8:52,0.25,0.25,N,0.9,0.75,4,N,0,5,,,,,
P24-199-S0-C,Strickers,199,2024,10:00,0.4,0.35,N,1.1,0.75,15,N,1,5,,,,,
P24-199-W0-C,LakeviewWest,199,2024,10:58,0.3,0.25,N,1.8,1.5,0,N,25,1,,,,,
P24-207-T0-C,Tiedemans,207,2024,8:44,0.3,0.25,N,1.1,0.75,2,N,15,5,,,,,
P24-207-S0-C,Strickers,207,2024,10:26,0.3,0.25,N,1,0.75,5,N,45,7,,,,,
P24-207-W0-C,LakeviewWest,207,2024,11:48,0.4,0.4,N,1.3,1,0,N,20,2,,,,,
P24-212-T0-C,Tiedemans,212,2024,10:56,0.3,0.25,N,0.85,N/A,1,N,0,0,,,,,
P24-212-S0-C,Strickers,212,2024,11:31,0.25,0.2,N,0.95,N/A,3,N,10,3,,,,,
P24-212-W0-C,LakeviewWest,212,2024,9:45,0.35,0.3,N,1.25,N/A,0,N,0,1,,,,,
P24-220-T0-C,Tiedemans,220,2024,9:00,0.25,0.25,N,0.9,0.5,1,N,0,2,,,,,
P24-220-S0-C,Strickers,220,2024,10:38,0.25,0.25,N,1,0.5,7,N,5,7,,,,,
P24-220-W0-C,LakeviewWest,220,2024,12:40,0.25,0.25,N,1.3,0.75,1,N,5,4,,,,,
P24-226-T0-C,Tiedemans,226,2024,8:55,0.25,0.2,N,1.05,0.75,2,N,0,2,,,,,
P24-226-S0-C,Strickers,226,2024,10:12,0.3,0.25,N,1.05,0.75,5,N,0,2,,,,,
P24-226-W0-C,LakeviewWest,226,2024,11:03,0.5,0.45,N,1.2,1,0,N,0,1,,,,,
P24-234-T0-C,Tiedemans,234,2024,9:13,0.2,0.2,N,0.75,0.5,2,N,5,4,,,,,
P24-234-S0-C,Strickers,234,2024,10:20,0.25,0.25,N,0.9,0.5,10,N,5,10,,,,,
P24-234-W0-C,LakeviewWest,234,2024,11:25,0.35,0.35,N,1.25,0.75,2,N,5,5,,,,,
